Highest Layer,Transport Layer,Source IP,Dest IP,Source Port,Dest Port,Packet Length,Packets/Time,target
DATA,TCP,0,77.18.133.195,58109,36026,55,46.54970935540267,0
DATA,TCP,0,176.71.232.247,58110,53232,55,46.65149121026756,0
TCP,TCP,0,219.91.202.83,58118,5121,66,46.75316987816908,0
TCP,TCP,0,42.109.141.99,58117,6881,55,46.86060291661419,0
ICMP,None,1,192.168.1.2,0,0,90,46.868423978378196,1
ICMP,None,1,192.168.1.2,0,0,70,46.89369855899498,1
TCP,TCP,0,46.101.4.218,58121,6881,66,46.942174157774275,0
DATA,UDP,0,27.6.146.195,54557,1096,62,47.02547658061231,0
TCP,TCP,0,43.252.15.2,58122,40413,66,47.120320763444525,0
DATA,UDP,0,103.74.140.18,54557,62220,62,47.197497787769336,0
